iter,f0,f1,f2
    309,    0.9580300000,    0.0000000000,    0.0419700000
    310,    0.9582300000,    0.0000000000,    0.0417700000
    311,    0.9585800000,    0.0000000000,    0.0414200000
    312,    0.9587000000,    0.0000000000,    0.0413000000
    313,    0.9588700000,    0.0000000000,    0.0411300000
    314,    0.9590100000,    0.0000000000,    0.0409900000
    315,    0.9586200000,    0.0000000000,    0.0413800000
    316,    0.9587500000,    0.0000000000,    0.0412500000
    317,    0.9590200000,    0.0000000000,    0.0409800000
    318,    0.9590200000,    0.0000000000,    0.0409800000
    319,    0.9589900000,    0.0000000000,    0.0410100000
    320,    0.9586700000,    0.0000000000,    0.0413300000
    321,    0.9584100000,    0.0000000000,    0.0415900000
    322,    0.9580200000,    0.0000000000,    0.0419800000
    323,    0.9585800000,    0.0000000000,    0.0414200000
    324,    0.9589200000,    0.0000000000,    0.0410800000
    325,    0.9591300000,    0.0000000000,    0.0408700000
    326,    0.9591500000,    0.0000000000,    0.0408500000
    327,    0.9592200000,    0.0000000000,    0.0407800000
    328,    0.9593400000,    0.0000000000,    0.0406600000
    329,    0.9589300000,    0.0000000000,    0.0410700000
    330,    0.9587300000,    0.0000000000,    0.0412700000
    331,    0.9591200000,    0.0000000000,    0.0408800000
    332,    0.9591800000,    0.0000000000,    0.0408200000
    333,    0.9590300000,    0.0000000000,    0.0409700000
    334,    0.9593300000,    0.0000000000,    0.0406700000
    335,    0.9592700000,    0.0000000000,    0.0407300000
    336,    0.9593000000,    0.0000000000,    0.0407000000
    337,    0.9589800000,    0.0000000000,    0.0410200000
    338,    0.9588200000,    0.0000000000,    0.0411800000
    339,    0.9588000000,    0.0000000000,    0.0412000000
    340,    0.9585900000,    0.0000000000,    0.0414100000
    341,    0.9584800000,    0.0000000000,    0.0415200000
    342,    0.9586800000,    0.0000000000,    0.0413200000
    343,    0.9592700000,    0.0000000000,    0.0407300000
    344,    0.9595300000,    0.0000000000,    0.0404700000
    345,    0.9598500000,    0.0000000000,    0.0401500000
    346,    0.9600200000,    0.0000000000,    0.0399800000
    347,    0.9599300000,    0.0000000000,    0.0400700000
    348,    0.9603000000,    0.0000000000,    0.0397000000
    349,    0.9602400000,    0.0000000000,    0.0397600000
    350,    0.9598600000,    0.0000000000,    0.0401400000
    351,    0.9604200000,    0.0000000000,    0.0395800000
    352,    0.9604900000,    0.0000000000,    0.0395100000
    353,    0.9600600000,    0.0000000000,    0.0399400000
    354,    0.9594200000,    0.0000000000,    0.0405800000
    355,    0.9597600000,    0.0000000000,    0.0402400000
    356,    0.9598000000,    0.0000000000,    0.0402000000
    357,    0.9597100000,    0.0000000000,    0.0402900000
    358,    0.9595100000,    0.0000000000,    0.0404900000
    359,    0.9590400000,    0.0000000000,    0.0409600000
    360,    0.9585200000,    0.0000000000,    0.0414800000
    361,    0.9585300000,    0.0000000000,    0.0414700000
    362,    0.9585400000,    0.0000000000,    0.0414600000
    363,    0.9582600000,    0.0000000000,    0.0417400000
    364,    0.9583000000,    0.0000000000,    0.0417000000
    365,    0.9582900000,    0.0000000000,    0.0417100000
    366,    0.9587100000,    0.0000000000,    0.0412900000
    367,    0.9589100000,    0.0000000000,    0.0410900000
    368,    0.9588800000,    0.0000000000,    0.0411200000
    369,    0.9591700000,    0.0000000000,    0.0408300000
    370,    0.9590400000,    0.0000000000,    0.0409600000
    371,    0.9589600000,    0.0000000000,    0.0410400000
    372,    0.9591900000,    0.0000000000,    0.0408100000
    373,    0.9594900000,    0.0000000000,    0.0405100000
    374,    0.9597500000,    0.0000000000,    0.0402500000
    375,    0.9600000000,    0.0000000000,    0.0400000000
    376,    0.9600200000,    0.0000000000,    0.0399800000
    377,    0.9604100000,    0.0000000000,    0.0395900000
    378,    0.9605800000,    0.0000000000,    0.0394200000
    379,    0.9603900000,    0.0000000000,    0.0396100000
    380,    0.9604600000,    0.0000000000,    0.0395400000
    381,    0.9605200000,    0.0000000000,    0.0394800000
    382,    0.9607000000,    0.0000000000,    0.0393000000
    383,    0.9611800000,    0.0000000000,    0.0388200000
    384,    0.9610000000,    0.0000000000,    0.0390000000
    385,    0.9608400000,    0.0000000000,    0.0391600000
    386,    0.9611200000,    0.0000000000,    0.0388800000
    387,    0.9608700000,    0.0000000000,    0.0391300000
    388,    0.9610100000,    0.0000000000,    0.0389900000
    389,    0.9610900000,    0.0000000000,    0.0389100000
    390,    0.9615500000,    0.0000000000,    0.0384500000
    391,    0.9616600000,    0.0000000000,    0.0383400000
    392,    0.9618600000,    0.0000000000,    0.0381400000
    393,    0.9622600000,    0.0000000000,    0.0377400000
    394,    0.9620000000,    0.0000000000,    0.0380000000
    395,    0.9619000000,    0.0000000000,    0.0381000000
    396,    0.9621300000,    0.0000000000,    0.0378700000
    397,    0.9620400000,    0.0000000000,    0.0379600000
    398,    0.9619800000,    0.0000000000,    0.0380200000
    399,    0.9623000000,    0.0000000000,    0.0377000000
