pi1,pi2,f0,f1,f2,Q,Qs,niter
0.23,0.31,0.10615071,0.15675074,0.73709855,0.42359707,0.58034781,8.0
0.23,0.33,0.10586765,0.1538169,0.74031545,0.43268165,0.58649855,8.0
0.23,0.35,0.10558764,0.15100607,0.74340629,0.44139415000000004,0.59240022,8.0
0.23,0.37,0.10531053,0.14830988,0.74637959,0.44975982999999997,0.59806971,8.0
0.23,0.39,0.10503622,0.14572074,0.74924304,0.45780156,0.6035223,8.0
0.23,0.41,0.10476459,0.14323177,0.75200365,0.46554011,0.60877188,8.0
0.23,0.43,0.10449553,0.14083672,0.75466775,0.47299431,0.6138310299999999,8.0
0.23,0.45,0.10422896,0.13852988,0.75724116,0.4801814,0.61871128,8.0
0.23,0.47,0.10396479,0.13630603,0.75972918,0.48711712,0.62342315,8.0
0.23,0.49,0.10370293,0.13416039,0.76213668,0.49381590000000003,0.62797629,8.0
0.25,0.01,0.11091954,0.24575546,0.643325,0.15181408000000002,0.39756954,9.0
0.25,0.03,0.11054562,0.23783373,0.65162065,0.17595319000000004,0.41378692000000006,9.0
0.25,0.05,0.11018259,0.23056964,0.65924777,0.19810849000000003,0.42867813,9.0
0.25,0.07,0.10982907,0.22386783,0.66630309,0.21856743,0.44243526,9.0
0.25,0.09,0.10948398,0.21765275,0.67286327,0.23755777,0.45521052,9.0
0.25,0.11,0.10914641,0.21186335,0.67899023,0.25526353,0.46712688,9.0
0.25,0.13,0.10881565,0.20644957,0.68473478,0.27183564,0.47828521,9.0
0.25,0.15,0.10849108,0.20136977,0.69013915,0.28739961,0.48876938000000003,9.0
0.25,0.17,0.10817219,0.19658892,0.69523889,0.30206105000000005,0.49864997000000005,9.0
0.25,0.19,0.10785853,0.19207725,0.70006421,0.31590970999999995,0.50798696,9.0
0.25,0.21,0.10754973,0.18780925,0.70464102,0.32902251999999993,0.5168317699999999,9.0
0.25,0.23,0.10724546,0.18376282,0.70899172,0.34146608,0.5252289,9.0
0.25,0.25,0.10694542,0.17991877,0.71313581,0.35329827,0.53321704,9.0
0.25,0.27,0.10664936,0.17626024,0.7170904,0.36456992,0.5408301600000001,8.0
0.25,0.29,0.10635705,0.1727724,0.72087055,0.37532575,0.54809815,8.0
