pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.3,0.5,0.1336202349,0.263323919,0.603055846,0.0154101841,0.0273679288,0.0297600906,0.076408008,0.081707176,0.4045837691,0.044640136,0.2725506105,0.0728906915,0.4794475484,0.2352201526,0.2303031788,0.0791610321
0.3,0.55,0.1306407198,0.2483833842,0.620975896,0.015323378,0.0278708641,0.0304077291,0.1242091277,0.0834565068,0.431463844,0.0456115937,0.3164471067,0.0744922676,0.5239092176,0.2785297923,0.2326813897,0.080874292
0.3,0.6,0.1273227293,0.2297848238,0.6428924469,0.0151330941,0.0285186083,0.0311790213,0.1833227993,0.0856635228,0.4643386703,0.0467685319,0.3701381229,0.0763823412,0.5742897609,0.3325310649,0.2326768271,0.0828346797
0.3,0.65,0.1240505374,0.2090538465,0.6668956161,0.0149521428,0.0284304829,0.0312893796,0.248787923,0.0856720305,0.5003434241,0.0469340694,0.4289410675,0.076652697,0.6246720397,0.3927483505,0.231594661,0.0825837836
0.3,0.7,0.1207058935,0.1857676681,0.6935264384,0.0148163858,0.0280690994,0.0311492535,0.3219911022,0.0848470591,0.5402896576,0.0467238803,0.4941812346,0.0763094162,0.6765307058,0.4603891546,0.2305962509,0.0815340506
0.3,0.75,0.117415956,0.160848138,0.721735906,0.014611953,0.0278182055,0.0310320204,0.4000396301,0.0842914936,0.582603859,0.0465480306,0.5632887658,0.0760222187,0.7277442973,0.5327744564,0.2280751449,0.0808052637
0.3,0.8,0.1138842189,0.1321181505,0.7539976306,0.0144045583,0.0258058883,0.0293131315,0.4897613297,0.078475854,0.6309964459,0.0439696973,0.6423235127,0.0718112861,0.7828974577,0.6162282296,0.2250904155,0.0749599613
0.3,0.85,0.1104305524,0.1014196751,0.7881497726,0.0141348643,0.0231768779,0.0269355067,0.5853104224,0.0707105493,0.6822246588,0.0404032601,0.7259894026,0.0659865827,0.8368673934,0.7053999914,0.2210386113,0.0673233119
0.3,0.9,0.1070384804,0.0694765909,0.8234849288,0.0139307233,0.0202591591,0.0245503571,0.6845317471,0.0623107628,0.7352273932,0.0368255357,0.81255344,0.0601434452,0.8899157416,0.7981870456,0.2178712216,0.0588480335
0.3,0.95,0.1035231492,0.0347823444,0.8616945064,0.0137587852,0.0145443659,0.0200141712,0.7921298175,0.0457419313,0.7925417596,0.0300212568,0.9061592325,0.0490307005,0.9448975423,0.898965571,0.2151874199,0.04224792
