arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
20,6,0.3,0.3,7,8,0.4,0.1668641411,0.3676319492,0.4655039097,0.0659395231,0.1038256848,0.107111419,-0.2697599886,0.300667863
20,6,0.3,0.3,7,8,0.45,0.1659665084,0.3679671511,0.4660663406,0.0659598619,0.1071787791,0.1105203273,-0.2698679616,0.3112339403
20,6,0.3,0.3,7,8,0.5,0.1663535545,0.3644450316,0.4692014139,0.0664231953,0.1109820538,0.1147617987,-0.2596886493,0.3234019593
20,6,0.3,0.3,7,8,0.55,0.1652571143,0.3590396687,0.4757032171,0.0665783528,0.1147161672,0.1186779199,-0.2423761203,0.3351817208
20,6,0.3,0.3,7,8,0.6,0.164864641,0.3566138465,0.4785215125,0.0670202946,0.1195992594,0.1236973978,-0.2347061806,0.3503478215
20,6,0.3,0.3,7,8,0.65,0.1633173135,0.3479081658,0.4887745207,0.066969841,0.1238983711,0.1284039247,-0.207041811,0.3641395646
20,6,0.3,0.3,7,8,0.7,0.1652171243,0.3429856822,0.4917971936,0.0679144576,0.1308351741,0.1356707584,-0.1941741707,0.3856189488
20,6,0.3,0.3,7,8,0.75,0.1660641982,0.3308885636,0.5030472382,0.0682199007,0.1371962075,0.1423873583,-0.158729889,0.4055260359
20,6,0.3,0.3,7,8,0.8,0.1656651551,0.3212255508,0.5131092941,0.0683698674,0.1445002592,0.1507252719,-0.1293418074,0.4290540697
20,6,0.3,0.3,7,8,0.85,0.1683426286,0.3013906523,0.530266719,0.0696328062,0.1536067783,0.1603962748,-0.0725145856,0.4572238988
20,6,0.3,0.3,7,8,0.9,0.1744579569,0.2821224694,0.5434195737,0.071642299,0.1628106683,0.1713005613,-0.0208253651,0.4866315764
