pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.15,0.85,0.1177045024,0.0631195772,0.8191759203,0.0558267109,0.0749803858,0.0936372733,0.6929367658,0.231954571,0.7291730639,0.1387701711,0.831292177,0.1936841783,0.9038400145,0.7941915711,0.3034672985,0.2285987968
0.15,0.9,0.1124336773,0.0387892313,0.8487770914,0.0545540227,0.0610588174,0.0820852328,0.7711986289,0.1913916106,0.7738195808,0.1197438191,0.8935947429,0.1673073007,0.9324256699,0.8737566459,0.2975800381,0.1845950799
0.15,0.95,0.1070932267,0.0226661192,0.8702406541,0.0529127521,0.0478209453,0.0712994636,0.8249084158,0.1528802759,0.8053679437,0.1069050904,0.9376864065,0.1492398164,0.9615297726,0.9248479547,0.2893376717,0.1529813088
0.2,0.05,0.219020959,0.3145392223,0.4664398186,0.0703978217,0.0811421272,0.0879076551,-0.1626386261,0.229729906,0.2212034491,0.1085639575,0.1585998544,0.1204309156,0.4428721901,0.2038625038,0.3376624473,0.1536404192
0.2,0.1,0.21124576,0.3114207162,0.4773335238,0.0698711289,0.0841055027,0.0907272975,-0.1455079087,0.2395261818,0.2362050559,0.1136467723,0.1674504115,0.1267292069,0.4511560885,0.2116595341,0.3371984504,0.1597590477
0.2,0.15,0.2032491877,0.3086381976,0.4881126147,0.0693574943,0.0872551988,0.0940607925,-0.1291637805,0.2502043012,0.2516051344,0.1190009966,0.1789492131,0.1350657649,0.4631791032,0.2211945993,0.3436080472,0.1648485338
0.2,0.2,0.1955732495,0.2979833613,0.5064433892,0.0683926613,0.0908985709,0.0995724729,-0.0895233335,0.2645075064,0.2776316635,0.1269315236,0.2029746208,0.1494674878,0.4800090794,0.2358041102,0.3469773933,0.1733205204
0.2,0.25,0.1881243975,0.2904441747,0.5214314279,0.067670979,0.0928070738,0.1013292367,-0.0594569215,0.2707822695,0.2968322205,0.1327889162,0.2201889032,0.1606451174,0.4998972196,0.2465045983,0.3569626378,0.1786390212
0.2,0.3,0.1816785089,0.2815581819,0.5367633092,0.0669825216,0.0960934161,0.1057958496,-0.0263530546,0.2828579797,0.3191819902,0.139432,0.2450337124,0.1744462444,0.520992456,0.2620830507,0.3659035861,0.1891293241
0.2,0.35,0.174123612,0.2705677152,0.5553086728,0.0660835149,0.0995743716,0.1101526746,0.0141732424,0.295223824,0.3453541972,0.1473196862,0.2766621027,0.1891403983,0.551125994,0.2840252182,0.3744961642,0.1991470951
